cluster,month,total_transactions,total_spend,ipsos_mean,cons_conf_mean
1,2021-01,2135,2208770.11,31.7,83.2669
1,2021-02,2062,2206244.89,32.0,84.5152
1,2021-03,2385,2575455.3,33.6,86.6538
1,2021-04,2286,2434791.62,32.0,80.1716
1,2021-05,2125,2071967.42,30.0,77.2622
1,2021-06,2364,2446747.83,28.5,81.7228
1,2021-07,2115,2039985.03,30.0,79.4772
1,2021-08,2190,2283468.5,28.7,78.2191
1,2021-09,2286,2361563.54,29.4,79.6503
1,2021-10,2161,2074318.14,28.9,76.7812
1,2021-11,2354,2540304.11,30.299999999999997,71.1483
1,2021-12,2385,2423969.56,28.7,68.9133
1,2022-01,2256,2294314.75,29.3,73.21
1,2022-02,2074,2229069.38,29.2,71.15
1,2022-03,2429,2405815.78,30.200000000000003,72.53
1,2022-04,2222,2290100.58,28.5,67.27
1,2022-05,2140,1986531.18,29.3,67.57
1,2022-06,2369,2362924.58,28.0,63.36
1,2022-07,2062,2167811.27,27.0,68.03
1,2022-08,2383,2314235.3,27.0,72.16
1,2022-09,2278,2359964.82,30.6,72.35
1,2022-10,2147,2314012.88,33.9,76.15
1,2022-11,2396,2421171.71,34.1,76.63
1,2022-12,2200,2252252.79,34.4,75.64
1,2023-01,2383,2417486.35,34.0,79.1
1,2023-02,2137,2172061.15,34.4,82.5
1,2023-03,594,635317.2,31.6,80.13
